都道府県,ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude,時期区分
埼玉県,110001,,A-61号遺跡,,,35.90388889,139.6608333,2
埼玉県,110002,,A-61号遺跡,第２次調査,Ⅶ下部,35.90388889,139.6608333,0
埼玉県,110003,,A-69号遺跡,,,35.91416667,139.6475,1
埼玉県,110004,,会ノ谷遺跡,第３次,,35.87416667,139.6966667,1
埼玉県,110005,,会ノ谷遺跡,第４次,,35.87416667,139.6966667,4
埼玉県,110006,,会ノ谷遺跡,,ローム層中,35.87416667,139.6966667,0
埼玉県,110007,,相野谷１号遺跡,,Ⅴ,35.87694444,139.6144444,0
埼玉県,110008,,B-13号遺跡,,,35.91944444,139.6369444,2
埼玉県,110009,,B-22号（土呂陣屋跡）遺跡,J地点,,35.93055556,139.6375,1
埼玉県,110010,,B-53号遺跡,,Ⅳ～Ⅶ,35.93388889,139.6022222,1
埼玉県,110011,,B-53号遺跡,,Ⅲ,35.93388889,139.6022222,2
埼玉県,110012,,C-66号遺跡,,Ⅴ,35.91833333,139.5911111,0
埼玉県,110013,,梅所遺跡,,Ⅳ～Ⅴ,35.87722222,139.6966667,1
埼玉県,110014,,梅所南遺跡,,Ⅲ下部,35.87361111,139.7002778,1
埼玉県,110015,,馬場東遺跡,第５区,Ⅲ下層～Ⅳ,35.88972222,139.6883333,0
埼玉県,110016,,馬場東遺跡,第12区,Ⅳ,35.88972222,139.6883333,0
埼玉県,110017,,馬場北遺跡,,Ⅳ～Ⅴ,35.88861111,139.6841667,3
埼玉県,110018,,馬場北遺跡,J地点,Ⅳ～Ⅴ,35.88861111,139.6841667,0
埼玉県,110019,,馬場北遺跡,第7区,Ⅳ,35.88861111,139.6841667,0
埼玉県,110020,,馬場北遺跡,,Ⅲ下層～Ⅳ,35.88861111,139.6841667,0
埼玉県,110021,,馬場北遺跡,第5区,Ⅳ～Ⅴ,35.88861111,139.6841667,1
埼玉県,110022,,馬場北遺跡,第７次,Ⅳ下～Ⅴ上,35.88861111,139.6841667,1
埼玉県,110023,,馬場北遺跡,第16次　第27Ａ区,Ⅲ下部～Ⅳ上部,35.88861111,139.6841667,0
埼玉県,110024,,馬場北遺跡,第16次　第27Ｂ区,Ⅲ～Ⅳ,35.88861111,139.6841667,1
埼玉県,110025,,馬場小室山遺蹟,第105区,,35.88472222,139.6858333,4
埼玉県,110026,,馬場小室山遺蹟,第29次,Ⅲ～Ⅳ,35.88472222,139.6858333,2
埼玉県,110027,,別所子野上遺跡,第５次,Ⅲ～Ⅴ,35.85555556,139.6427778,0
埼玉県,110028,,別所西野台遺跡,,Ⅲ上面,35.85083333,139.6430556,1
埼玉県,110029,,C-23号遺跡,,,35.93638889,139.5822222,1
埼玉県,110030,,C-26号遺跡,,Ⅲ～Ⅳ,35.92888889,139.5575,1
埼玉県,110031,,C-66号遺跡,,Ⅲ～Ⅳ上面,35.91833333,139.5911111,1
埼玉県,110032,,台耕地南遺跡,,ローム層最上層,35.88972222,139.605,1
埼玉県,110033,,海老沼南遺跡,,,35.90777778,139.6422222,2
埼玉県,110034,,えんぎ山遺跡,,,35.88888889,139.7113889,4
埼玉県,110035,,不動谷遺跡,第３次,,35.87638889,139.6836111,1
埼玉県,110036,,不動谷遺跡,第４次,Ⅲ～Ⅳ,35.87361111,139.6780556,1
埼玉県,110037,,不動谷遺跡,第４次,Ⅲ,35.87361111,139.6780556,1
埼玉県,110038,,不動谷遺跡,第７次,Ⅲ～Ⅵ,35.87416667,139.68,0
埼玉県,110039,,深作原遺跡,第２次調査,Ⅲ～Ⅴ,35.95333333,139.6577778,1
埼玉県,110040,,深作稲荷台遺跡,第２・３次,Ⅲ～Ⅶ,35.94722222,139.665,1
埼玉県,110041,,玄蕃新田本田遺跡,第３次,Ⅲ～Ⅴ,35.89055556,139.7133333,1
埼玉県,110042,,玄蕃新田本田遺跡,第３次,,35.89055556,139.7133333,4
埼玉県,110043,,行谷遺跡,第３次,,35.88194444,139.7355556,1
埼玉県,110044,,行谷遺跡,第５次,,35.88194444,139.7355556,0
埼玉県,110045,,原遺跡,,Ⅲ,35.9,139.5911111,1
埼玉県,110046,,原山東原遺跡,第２次,,35.87027778,139.6672222,0
埼玉県,110047,,原山東原遺跡,第４次,Ⅴ,35.87027778,139.6672222,1
埼玉県,110048,,東高砂遺跡,,,35.85888889,139.6586111,1
埼玉県,110049,,東高砂北遺跡,,Ⅲ,35.85888889,139.6580556,0
埼玉県,110050,,東裏遺跡,第３次,Ⅳ～Ⅴ,35.88638889,139.7322222,0
埼玉県,110051,,東裏西遺跡,,不明,35.85583333,139.6775,0
埼玉県,110052,,東裏西遺跡,,,35.85583333,139.6775,2
埼玉県,110053,,東北原遺跡,９次,,35.95416667,139.6375,2
埼玉県,110054,,氷川神社東遺跡,,第Ⅰ文化層　Ⅱ～Ⅲ,35.91722222,139.6322222,0
埼玉県,110055,,氷川神社東遺跡,,第Ⅱ文化層　Ⅳ～Ⅴ,35.91722222,139.6322222,1
埼玉県,110056,,氷川神社東遺跡,,,35.91722222,139.6322222,1
埼玉県,110057,,日向北遺跡,第２次,,35.87666667,139.6844444,1
