ID,都道府県,JPRAID,遺跡群名,遺跡名,地点地区名,文化層石器文化,所在地,Latitude,Longitude,時期区分
1,埼玉県,110001,,A-61号遺跡,,,さいたま市見沼区南中野,35.90388889,139.6608333,2
8,埼玉県,110008,,B-13号遺跡,,,さいたま市大宮区寿能町２丁目,35.91944444,139.6369444,2
11,埼玉県,110011,,B-53号遺跡,,Ⅲ,さいたま市北区日進町,35.93388889,139.6022222,2
26,埼玉県,110026,,馬場小室山遺蹟,第29次,Ⅲ～Ⅳ,さいたま市緑区大字三室,35.88472222,139.6858333,2
33,埼玉県,110033,,海老沼南遺跡,,,さいたま市見沼区南中野字海老沼,35.90777778,139.6422222,2
52,埼玉県,110052,,東裏西遺跡,,,さいたま市緑区大字大門,35.85583333,139.6775,2
53,埼玉県,110053,,東北原遺跡,９次,,さいたま市見沼区東大宮４丁目,35.95416667,139.6375,2
60,埼玉県,110060,,本杢遺跡,第４地点,,さいたま市桜区中島１丁目,35.86583333,139.6238889,2
63,埼玉県,110063,,井沼方遺跡,,,さいたま市緑区東浦和,35.8625,139.6975,2
67,埼玉県,110067,,一ツ木遺跡,,,さいたま市南区大谷場,35.84611111,139.6663889,2
71,埼玉県,110071,,上木崎三丁目遺跡,,,さいたま市浦和区上木崎３丁目,35.88888889,139.6436111,2
79,埼玉県,110079,,北宿遺跡,第７地点,,さいたま市緑区馬場１丁目、三室,35.89055556,139.6805556,2
92,埼玉県,110092,,北宿西遺跡,,,さいたま市緑区三室,35.88611111,139.6738889,2
101,埼玉県,110101,,駒前遺跡,第３次,,さいたま市緑区中尾,35.87555556,139.6797222,2
111,埼玉県,110111,,前窪西遺跡,,Ⅲ最上部,さいたま市浦和区木崎,35.88555556,139.6630556,2
118,埼玉県,110118,,松木遺跡,,Ⅲ～Ⅳ中,さいたま市緑区三室,35.8825,139.6891667,2
131,埼玉県,110131,,御蔵山中遺跡,２次,,さいたま市見沼区御蔵,35.90638889,139.6641667,2
140,埼玉県,110140,,南中丸下高井遺跡,,Ⅲ,さいたま市見沼区南中丸,35.91027778,139.6505556,2
151,埼玉県,110151,,水深遺跡,,,さいたま市緑区大間木,35.87638889,139.6936111,2
170,埼玉県,110170,,中尾中丸遺跡,第２次,,さいたま市緑区中尾,35.87333333,139.6855556,2
171,埼玉県,110171,,中里前原遺跡,第２次Ｂ地点,,さいたま市中央区新中里１丁目,35.87277778,139.6358333,2
172,埼玉県,110172,,中里前原北遺跡,,,さいたま市中央区新中里１丁目,35.87444444,139.6358333,2
176,埼玉県,110176,,南方遺跡,第５次,,さいたま市緑区大門,35.87555556,139.7383333,2
191,埼玉県,110191,,大古里遺跡,,,さいたま市緑区三室,35.88972222,139.6744444,2
195,埼玉県,110195,,大古里遺跡,,,さいたま市緑区三室,35.88972222,139.6744444,2
196,埼玉県,110196,,大古里遺跡,第７次,,さいたま市緑区三室,35.88972222,139.6744444,2
200,埼玉県,110200,,大北遺跡,,,さいたま市緑区大牧,35.86416667,139.6969444,2
201,埼玉県,110201,,大北遺跡,第５区,,さいたま市緑区大牧,35.86416667,139.6969444,2
215,埼玉県,110215,,大戸本村７号遺跡,,,さいたま市中央区大戸３丁目,35.86444444,139.6394444,2
233,埼玉県,110233,,大谷口向原遺跡,,,さいたま市緑区大谷口,35.85583333,139.6802778,2
238,埼玉県,110238,,太田窪貝塚遺跡,,,さいたま市緑区太田窪,35.84888889,139.6861111,2
242,埼玉県,110242,,下加遺跡,３次,,さいたま市北区日進町１丁目,35.91805556,139.5983333,2
252,埼玉県,110252,,白幡中学校校庭内遺跡,,,さいたま市南区白幡,35.855,139.6438889,2
259,埼玉県,110259,,土呂陣屋遺跡,Ｉ地点,,さいたま市北区土呂町,35.92527778,139.6366667,2
261,埼玉県,110261,,内道西遺跡,,ローム層中,さいたま市中央区上峰２丁目,35.87527778,139.6158333,2
274,埼玉県,110274,,陣屋2号遺跡,,,さいたま市中央区上峰1丁目,35.87027778,139.6183333,2
276,埼玉県,110276,,上組Ⅱ遺跡,,第Ⅲ層,川越市笠幡,35.91722222,139.4225,2
279,埼玉県,110279,,光山遺跡,,,川越市笠幡,35.90611111,139.3894444,2
280,埼玉県,110280,,宮廻館跡遺跡,第4次調査区,包含層,川越市大字下広谷,35.95055556,139.4252778,2
289,埼玉県,110289,,籠原裏遺跡,,,熊谷市新堀,36.175,139.3338889,2
294,埼玉県,110294,,西原遺跡,,包含層,熊谷市千代字西原,36.12277778,139.3144444,2
298,埼玉県,110298,,天神遺跡,,包含層,熊谷市板井字天神,36.11277778,139.3111111,2
299,埼玉県,110299,,寺内遺跡,,包含層,熊谷市柴字寺内,36.11444444,139.3152778,2
300,埼玉県,110300,,山神遺跡,,包含層,熊谷市千代字山ノ神,36.11888889,139.3152778,2
312,埼玉県,110312,,行衛往還通遺跡,第11次調査,,川口市大字戸塚,35.86833333,139.7375,2
324,埼玉県,110324,,木曽呂表遺跡,,,川口市大字木曽呂,35.85861111,139.7197222,2
325,埼玉県,110325,,道合高木前遺跡,,,川口市大字道合,35.84694444,139.7225,2
346,埼玉県,110346,,(仮)笠松遺跡,,,所沢市勝楽寺,35.76805556,139.3938889,2
397,埼玉県,110397,,屋敷前遺跡,第１次,Ⅲ層,所沢市新郷、日比田,35.805,139.5072222,2
410,埼玉県,110410,,古吉海道遺跡,第２次調査区,包含層,東松山市今泉字後原,36.01555556,139.4283333,2
413,埼玉県,110413,,岩鼻遺跡,,包含層,東松山市大字松山字岩花,36.04777778,139.4113889,2
419,埼玉県,110419,,山王裏遺跡,,,東松山市下野本字久保原,36.02416667,139.4147222,2
428,埼玉県,110428,,竹之下遺跡,,,春日部市大字内牧,35.9975,139.7247222,2
446,埼玉県,110446,,権現堂北遺跡,,包含層,深谷市本田,36.1175,139.2952778,2
447,埼玉県,110447,,東原遺跡,,,深谷市北根字東原,36.14694444,139.2566667,2
452,埼玉県,110452,,万願寺遺跡,,,深谷市本田,36.11972222,139.3055556,2
455,埼玉県,110455,,宮入遺跡,,,深谷市本田字宮入,36.1075,139.2741667,2
466,埼玉県,110466,,稲荷台遺跡,,,上尾市大字西貝塚,35.93805556,139.5533333,2
470,埼玉県,110470,,中妻三丁目遺跡,,,上尾市中妻三丁目,35.98416667,139.5688889,2
478,埼玉県,110478,,坂東山遺跡,第３次調査区,第Ⅳ層上部,入間市小谷田３町目,35.84694444,139.3652778,2
481,埼玉県,110481,,東武蔵野遺跡,,,入間市西三ツ木字東武蔵野,35.80638889,139.3408333,2
482,埼玉県,110482,,南内野遺跡,,,入間市寺竹,35.80888889,139.3341667,2
495,埼玉県,110495,,若宮遺跡,,,入間市高倉２,35.84194444,139.3827778,2
555,埼玉県,110555,,花ノ木遺跡,,第１文化層,和光市新倉２丁目,35.79861111,139.6172222,2
572,埼玉県,110572,,道場遺跡,AE04区,第Ⅲ・Ⅳ・Ⅴ層,新座市道場２丁目,35.77111111,139.5616667,2
577,埼玉県,110577,,池田遺跡,Ａ地点,第Ⅲ層,新座市池田３丁目,35.77166667,139.5730556,2
583,埼玉県,110583,,新開遺跡,,第Ⅳ層,新座市大和田,35.81361111,139.5577778,2
590,埼玉県,110590,,殿山南遺跡,,,桶川市上日出谷南,36.00555556,139.5444444,2
597,埼玉県,110597,,提灯木山遺跡,,第１文化層,北本市二ツ家,36.01472222,139.5544444,2
608,埼玉県,110608,,羽沢遺跡,第23地点,Ⅲ層,富士見市羽沢１丁目、渡戸１丁目,35.85916667,139.5402778,2
610,埼玉県,110610,,氷川前遺跡,第5地点,Ⅳ上層,富士見市大字水子,35.89611111,139.5597222,2
666,埼玉県,110666,,荒川附遺跡,第７地点,,蓮田市関山３丁目,35.98888889,139.6530556,2
669,埼玉県,110669,,帆立遺跡,,グリッド,蓮田市馬込八番,35.97833333,139.6608333,2
670,埼玉県,110670,,黒浜拾九町遺跡,第1・２次調査,,蓮田市大字黒浜,36.0075,139.6630556,2
673,埼玉県,110673,,天神前遺跡,第19地点,ローム層最上部,蓮田市大字黒浜,35.98222222,139.6694444,2
686,埼玉県,110686,,新右衛門遺跡,２次調査Ａ地点,包含層,鶴ヶ島市大字高倉字熊野,35.92861111,139.3766667,2
713,埼玉県,110713,,北遺跡,,,伊奈町針字原,36.00527778,139.6111111,2
741,埼玉県,110741,,東本遺跡,,表採,毛呂山町前久保,35.95027778,139.3225,2
745,埼玉県,110745,,中丸遺跡,,,滑川町月輪,36.045,139.3447222,2
747,埼玉県,110747,,西の谷遺跡,,,滑川町山田,36.09083333,139.3758333,2
748,埼玉県,110748,,大谷遺跡,,,滑川町羽尾,36.05972222,139.3569444,2
752,埼玉県,110752,滑川嵐山ゴルフコース内遺跡群,用土庵Ｂ遺跡,,包含層,滑川町中尾字用土庵,36.06111111,139.3411111,2
754,埼玉県,110754,,志賀向原,,,嵐山町志賀,36.05,139.3297222,2
762,埼玉県,110762,,西山遺跡,,ソフトローム,美里町猪俣,36.1575,139.1880556,2
763,埼玉県,110763,甘粕山遺跡群,如来堂Ｂ遺跡,,包含層,美里町甘粕,36.17166667,139.1922222,2
773,埼玉県,110773,,上前遺跡,,,騎西町牛重,36.0975,139.5913889,2
775,埼玉県,110775,,道上遺跡,,,騎西町根古屋,36.10444444,139.5847222,2
776,埼玉県,110776,,道下遺跡,,,騎西町根古屋,36.10166667,139.5894444,2
