"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13111000100,13111,"1","かめづかふきん・まるこたまがわえんきたかいづか","亀塚付近・丸子多摩川園北貝塚","大田区 田園調布一丁目",139.6674392,35.58883561,0,1,0,0,0,0,0,0,0
13111000200,13111,"2","せんげんじんじゃこふん","浅間神社古墳","大田区 田園調布一丁目",139.6687695,35.58743962,0,1,1,1,0,0,0,0,0
13111000300,13111,"3","せんげんじんじゃふきんよこあなぼぐん","浅間神社付近横穴墓群","大田区 田園調布一丁目",139.6688781,35.58691091,0,0,0,1,1,0,0,0,0
13111000400,13111,"4","ほうらいこうえんないよこあなぼ","宝来公園内横穴墓","大田区 田園調布三丁目",139.6639081,35.59491805,0,0,0,1,1,0,0,0,0
13111000500,13111,"5","でんえんちょうふはにわこうぼうあと","田園調布埴輪工房址","大田区 田園調布二丁目",139.6704679,35.59703283,0,0,0,1,0,0,0,0,0
13111000600,13111,"6","しもぬまべぼじゃくだによこあなぼ","下沼部牡若谷横穴墓","大田区 田園調布二丁目",139.6685298,35.59304569,0,0,0,1,1,0,0,0,0
13111000700,13111,"7","しもぬまべいっぽんぎだによこあなぼ","下沼部一本木谷横穴墓","大田区 田園調布三丁目",139.6670555,35.59697895,0,0,0,1,1,0,0,0,0
13111000800,13111,"8","にしおか19ごうふん","西岡19号墳","大田区 田園調布五丁目",139.6587397,35.59761202,0,0,0,1,0,0,0,0,0
13111000900,13111,"9","にしおか20ごうふん","西岡20号墳","大田区 田園調布五丁目",139.6578784,35.59596871,0,0,0,1,0,0,0,0,0
13111001000,13111,"10","にしおか21ごうふん","西岡21号墳","大田区 田園調布五丁目",139.6579115,35.59571279,0,0,0,1,0,0,0,0,0
13111001100,13111,"11","にしおか22ごうふん","西岡22号墳","大田区 田園調布五丁目",139.6581103,35.59556462,0,0,0,1,0,0,0,0,0
13111001200,13111,"12","にしおか23ごうふん","西岡23号墳","大田区 田園調布五丁目",139.6582659,35.59544897,0,0,0,1,0,0,0,0,0
13111001300,13111,"13","にしおか24ごうふん","西岡24号墳","大田区 田園調布五丁目",139.6586951,35.59520469,0,0,0,1,0,0,0,0,0
13111001400,13111,"14","いっぽんまつこふん（にしおか25ごうふん）","一本松古墳(西岡25号墳）","大田区 田園調布五丁目",139.660401,35.59766486,0,0,0,1,0,0,0,0,0
13111001500,13111,"15","にしおか26ごうふん","西岡26号墳","大田区 田園調布四丁目",139.6602508,35.59732463,0,0,0,1,0,0,0,0,0
